,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ZNF674-AS1,100.01474470014463,-0.03226601979060339,0.027813426690992196,-1.1600879010371359,0.24601301965492617,0.40107657415965176
CHST7,103.17685481188806,-0.005050188367040272,0.03651606373370797,-0.13830045877531,0.8900029629448473,0.9395484685253161
SLC9A7,179.94149738879338,0.3281198791748794,0.07402924512286557,4.43230075668477,9.323284385410764e-06,7.897874460126188e-05
RP2,535.1130894174801,0.02318426498211053,0.0387895876850915,0.5976929987070019,0.5500447979092911,0.696244891859082
LINC01545,1.9980206443478827,0.04314860516625408,0.12365290669679195,0.3489493803171028,0.7271273122768451,0.8326161146481675
JADE3,283.53147049980356,0.056465294654806784,0.024058856091141917,2.3469650610527735,0.018927029510239227,0.054938502431138334
RGN,301.02862622510327,-0.3347483108568515,0.048857835209428074,-6.851476522075937,7.309159605983614e-12,2.2912636374066542e-10
LOC105373193,3.874023750136433,-0.11360532065665398,0.07872796998177416,-1.4430109233472432,0.14901739415766957,0.2752239082375899
LOC107985720,18.747120166144377,0.04852414684947673,0.04371859234079597,1.1099201564227048,0.2670334339109244,0.4256368594143426
NDUFB11,609.0932299355677,-0.07451143492276618,0.04668479764809966,-1.5960535051349685,0.11047684806734687,0.2197316400789103
RBM10,506.62113051095963,0.10841625209877413,0.038066276764870635,2.8480918364683823,0.004398223068219809,0.016319449408072832
UBA1,4226.587173520005,-0.04036601536574037,0.03219259274229674,-1.2538914056681385,0.20988147926461143,0.35622071054757065
INE1,44.57755681321877,0.13390834685337424,0.048010289777081674,2.7891593130374543,0.005284506280219394,0.01903145104923174
LOC105373194,22.138281300541315,0.11314928694753956,0.04342045777256986,2.6058980663032,0.009163372738194755,0.030165774759961936
CDK16,1344.1364021357758,-0.09335619640810713,0.02821731671310411,-3.3084717925979317,0.0009380663396944463,0.004420214161858394
USP11,708.9643399870421,0.1653920070075432,0.026789881416590448,6.173674471926523,6.672084564412694e-10,1.4726529164326462e-08
ZNF157,2.614437928431202,0.2798496528293885,0.12103130306375746,2.3122088727902725,0.020766175564499677,0.059141652839786854
